EN1 7_49_10_68 
EN2 9_44_9_47 
EN3 13_14_13_6 
EN4 15_28_15_3 
EN5 15_9_15_37 
EN6 1_43_1_21 
EN7 14_108_13_46 
EN8 15_12_14_69 
EN9 3_55_13_60 
EN10 16_6_16_2 
EN11 8_39_8_33 
EN12 10_81_8_9 
EN13 8_46_8_4 
EN14 4_52_4_26 
EN15 13_72_9_14 
EN16 11_41_2_102 
EN17 13_85_13_56 
EN18 14_61_15_22 
EN19 8_42_8_7 
EN20 5_39_15_21 
EN21 16_36_16_19 
EN22 2_120_4_78 
EN23 12_30_12_75 
EN24 16_26_16_13 
EN25 4_58_4_37 
EN26 12_30_12_42 
EN27 4_64_3_38 
EN28 1_31_1_19 
EN29 12_88_12_36 
EN30 11_23_1_25 
EN31 6_38_6_43 
EN32 11_39_7_41 
EN33 14_70_14_38 
EN34 11_15_11_59 
EN35 4_40_4_57 
EN36 12_18_12_78 
EN37 15_28_15_30 
EN38 11_64_2_162 
EN39 8_53_8_57 
EN40 13_35_13_65 
EN41 16_27_16_6 
EN42 11_36_13_76 
EN43 6_1_6_26 
EN44 10_63_5_38 
EN45 4_36_4_1 
EN46 3_9_10_50 
EN47 1_42_1_32 
EN48 12_38_12_100 
EN49 10_9_15_37 
EN50 8_16_11_70 
EN51 9_2_6_52 
EN52 9_8_15_1 
EN53 6_34_2_139 
EN54 12_54_2_64 
EN55 4_33_4_21 
EN56 2_140_2_10 
EN57 5_1_12_76 
EN58 16_3_6_22 
EN59 14_25_14_36 
EN60 6_77_2_4 
EN61 7_66_7_73 
EN62 11_4_11_11 
EN63 13_44_9_60 
EN64 3_52_9_30 
EN65 5_29_14_98 
EN66 8_57_8_54 
EN67 16_29_16_26 
EN68 16_23_11_38 
EN69 2_150_14_39 
EN70 11_54_11_10 
EN71 15_6_15_13 
EN72 8_32_8_6 
EN73 12_61_4_78 
EN74 8_13_8_3 
EN75 7_32_3_8 
EN76 2_37_9_46 
EN77 2_51_3_30 
EN78 14_102_14_23 
EN79 9_21_8_1 
EN80 11_61_1_21 
EN81 11_77_5_20 
EN82 10_33_10_99 
EN83 8_32_11_22 
EN84 4_61_4_44 
EN85 2_53_15_17 
EN86 10_106_10_39 
EN87 5_19_5_12 
EN88 13_74_13_96 
EN89 2_54_2_15 
EN90 14_7_14_61 
EN91 16_3_16_41 
EN92 5_13_5_14 
EN93 5_22_5_36 
EN94 8_60_14_22 
EN95 7_46_8_19 
EN96 14_42_14_84 
EN97 12_29_12_8 
EN98 1_9_1_35 
EN99 13_84_13_8 
EN100 1_31_15_25 
EN101 2_84_2_151 
EN102 8_54_8_46 
EN103 11_74_12_38 
EN104 9_57_9_35 
EN105 4_80_1_27 
EN106 10_112_10_78 
EN107 16_42_16_33 
EN108 14_25_7_9 
EN109 7_64_7_58 
EN110 8_34_10_7 
EN111 7_35_12_61 
EN112 6_109_16_35 
EN113 14_65_1_48 
EN114 10_105_11_66 
EN115 6_110_6_21 
EN116 14_31_14_76 
EN117 3_11_3_67 
EN118 16_41_16_24 
EN119 11_73_11_59 
EN120 14_80_9_28 
EN121 2_49_13_26 
EN122 3_67_13_12 
